sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,volve,1.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1191491601038983,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.490814637793
1,volve,3.5999999046325684,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1191491630251909,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.488158917493
1,volve,11.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119149111902575,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.534634022748
1,volve,21.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1191490116048717,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.625813753058
1,volve,31.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119148908872758,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.719206583618
1,volve,41.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1191488056537624,0.0005849,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.813042034229
1,volve,51.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1192129158483617,0.0005849,1500.0,12121.5940185644,10786.46654993129,0.0,121215.94325684068,107864658.87781288,0.2783406473761423,0.0,4715.531046944049
1,volve,57.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1192498745782786,0.0005849,1500.0,12132.116706137993,10768.097405330618,0.0,194008.63581567697,172473247.72412997,0.4941652721100412,0.0,4681.932201564892
1,volve,61.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1192854520238056,0.0005849,1500.0,17599.74586273121,15591.056751216318,0.0,264407.62540899514,234837465.90032852,0.7761028223918905,0.0,4649.589069267724
1,volve,71.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119370752299205,0.0005849,1500.0,17861.81414535566,15762.793078961751,0.0,443025.7699337484,392465416.5544461,1.7545425631310392,0.0,4572.04336435932
1,volve,81.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1194560744842963,0.0005849,1500.0,18737.33707024001,16478.82001797094,0.0,630399.1344937552,557253610.1126554,3.05474015707883,0.0,4494.477741548663
1,volve,91.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119508529696262,0.0005849,1500.0,12983.268917686084,11394.023386588093,0.0,760231.8359554027,671193874.8788698,4.0004983369806535,0.0,4446.791185216553
1,volve,101.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195873583353853,0.0005849,1500.0,18426.06821704163,16127.600207472758,0.0,944492.5304106056,832469812.945764,5.6448650938708465,0.0,4375.128786013397
1,volve,111.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196418492012228,0.0005849,1500.0,13925.777713031594,12167.221460234578,0.0,1083750.3167545116,954142047.4126096,6.95083186627078,0.0,4325.591635252033
1,volve,121.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196489829970937,0.0005849,1500.0,14049.685142482596,12251.406107730703,14022.55419114364,1224247.0975418142,1076656112.90425,8.256763772790606,140225.54498263306,4319.106366278716
1,volve,125.21052551269533,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196228330487985,0.0005849,1500.0,19775.151240495008,17221.268949171732,42390.10290449837,1307510.9245670212,1149166729.2286923,9.016344338795124,318710.19073075044,4342.879046546789
1,volve,131.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195895079196585,0.0005849,1500.0,19790.911086181655,17204.470203655877,42390.10290449837,1422089.852128486,1248771534.7680423,9.982730560506289,564126.5924547968,4373.174618492431
1,volve,141.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195620453373432,0.0005849,1500.0,26759.655946938514,23182.07678838144,45127.83210684416,1689686.5098761644,1480592262.9228566,12.239114606625767,1015404.9380928116,4398.140602415436
1,volve,151.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195570606388634,0.0005849,1500.0,31500.180060882903,27198.87733717288,46173.04939666024,2004688.2920578136,1752581023.0515854,14.98040956427456,1477135.4259170208,4402.672146487836
1,volve,161.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195585441684852,0.0005849,1500.0,23986.92431620128,20668.202239341943,33551.361675939195,2244557.498365466,1959263076.345338,16.94234787876053,1812648.9689676927,4401.323483195337
1,volve,166.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195656818594122,0.0005849,1500.0,31228.56342782685,26876.6508680354,40431.91098206613,2400700.2817214373,2093646401.314849,18.32002701830874,2014808.5975867433,4394.834673261621
1,volve,171.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195728059176415,0.0005849,1500.0,31242.31317529623,26860.635666686947,40431.91098206613,2556911.859882705,2227949491.3616166,19.71790887341916,2216968.0296492074,4388.3582566893065
1,volve,181.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195616782282736,0.0005849,1500.0,31013.74550589403,26616.32659528968,47386.731037143705,2867049.259660105,2494112744.071513,22.401333968126615,2690835.297023891,4398.474337933172
1,volve,191.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.11953216197745,0.0005849,1500.0,30725.5321260601,26328.203058351053,52543.973541780586,3174304.7467653262,2757394885.013357,24.85829279976561,3216275.081580844,4425.307293227283
1,volve,192.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195387606899423,0.0005849,1500.0,30741.812539581475,26663.509197167547,26328.444579183702,3205046.3934602877,2784058305.923858,25.103256724388395,3242603.639794304,4419.308463688971
1,volve,195.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195584745443514,0.0005849,1500.0,30738.655349409815,26666.38292817026,26328.444579183702,3297262.488498777,2864057609.210036,25.869376329971967,3321588.9213215117,4401.386777862494
1,volve,201.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119596165057997,0.0005849,1500.0,30734.822495971846,26668.605545005692,26328.444579183702,3481671.288341955,3024069211.5797367,27.52010554762905,3479559.4843759276,4367.1226745481135
1,volve,211.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195862341247202,0.0005849,1500.0,36389.79234573495,31867.502760912903,54936.92099291909,3845569.469779824,3342744243.603199,30.73425382072061,4028928.854007345,4376.15079570896
1,volve,221.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195821628169758,0.0005849,1500.0,30762.048654407416,27000.194815152012,45313.86370243557,4153189.962466291,3612746059.324719,33.337830801352546,4482067.263763147,4379.851984567468
1,volve,231.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196501495664974,0.0005849,1500.0,47277.88168494139,41318.91930433405,48683.74038554301,4625968.699464592,4025935287.682726,38.09542335469385,4968904.907171917,4318.0458486388
1,volve,237.6666717529297,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.11963025605261,0.0005849,1500.0,28924.852666987717,25039.147094467655,49193.3655465496,4818800.931824906,4192862914.378955,39.831381279021265,5296860.358077795,4336.130861263745
1,volve,241.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196206381844944,0.0005849,1500.0,28930.25490192152,25036.25791329826,49193.3655465496,4915235.131211027,4276317122.137727,40.67699209203666,5460838.476643907,4344.87437773241
1,volve,251.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1195734831705804,0.0005849,1500.0,12923.89040136422,11274.966609309047,31400.547369872373,5044474.231781255,4389066682.286818,41.684809476570926,5774843.913488271,4387.742572199689
1,volve,256.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.11963439503696,0.0005849,1500.0,39836.34145358509,34974.69461084576,25341.194590821902,5243655.635000711,4563940391.507879,43.57942590048874,5901549.792770882,4332.36814821828
1,volve,261.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1196927079269297,0.0005849,1500.0,39833.543593423245,34958.04374549672,25341.194590821902,5442823.279259107,4738730475.598196,45.686485755436536,6028255.672053493,4279.356430064032
1,volve,271.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119833061903822,0.0005849,1500.0,49578.13120713902,43074.3937286577,29535.944023413867,5938604.640469644,5169474483.514107,52.33737207866315,6323615.357983365,4151.761905616406
1,volve,281.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1198733401955905,0.0005849,1500.0,49312.23007107661,42585.85504386324,56283.43803155883,6431726.984177164,5595333201.697406,59.23432003938306,6886449.64002066,4115.145276736017
1,volve,291.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1198662175980072,0.0005849,1500.0,42464.9633232087,36734.34278734002,61305.42810626405,6856376.482276597,5962676364.710806,64.9226201469284,7499504.129924674,4121.620365448181
1,volve,301.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119815134419673,0.0005849,1500.0,46453.62778158487,40307.66175171286,82263.4768474705,7320912.815373986,6365752885.112601,70.76071307306623,8322139.045816818,4168.059618479254
1,volve,311.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.119796121675423,0.0005849,1500.0,51096.0855148179,44165.83323202123,79813.77368196208,7831873.455538399,6807411102.660147,76.99356874085031,9120276.721212506,4185.343931433661
1,volve,321.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1197517589300947,0.0005849,1500.0,52304.35263558091,44918.57859573175,88473.7866205993,8354917.608418328,7256597277.078797,82.98391984071604,10005014.083742246,4225.673699913909
1,volve,331.0,0.2390047128537169,2353.7843866483827,77.75,6796200.0,4054.1616681601927,1.1197195706705532,0.0005849,1500.0,52051.89412732136,44580.56867774603,84919.08532218981,8875436.402274102,7702402849.083591,88.61821607409078,10854205.366931677,4254.935754042688
