sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,norne,1.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3076950849746805,0.0008468875907344623,606.8723669837283,27438.639176842014,16743.25403505387,0.0,27438.639176842014,16743254.03505387,30.59146716952024,0.0,3940.8547796282896
1,norne,4.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3077744989804954,0.0008469842302072138,606.9050921385459,27441.314189137265,16737.646728131913,0.0,109762.57867305714,66956193.115866266,121.35214583824059,0.0,3938.275632596655
1,norne,8.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3078803843215823,0.0008471130828375491,606.9487256783027,27443.75579048597,16731.870572959793,0.0,219537.6141197877,133883675.40770544,242.1856913271206,0.0,3935.045834091449
1,norne,16.5,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3081420105782902,0.0008472754242049025,607.0843035274244,35516.94903994085,21637.210207589917,0.0,521431.6517829166,317799969.89730304,574.5093731999093,0.0,3926.9728869986084
1,norne,25.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.308403636834998,0.0008474377655722558,607.2198813765461,35520.77575098549,21627.80767758104,0.0,823358.244130695,501636329.63882524,907.4647138492904,0.0,3919.4890671923827
1,norne,41.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3089978297960916,0.0008477929400626744,607.4470559250242,48455.759314703835,29473.269888319664,0.0,1598650.442305103,973208647.8519399,1641.2939496464337,0.0,3900.555551931494
1,norne,56.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3097651204893523,0.0008476278871573776,607.6812346062117,71577.17434274712,43511.11255440325,0.0,2672308.0697310967,1625875389.1399887,2543.012070635853,0.0,3875.7037639814025
1,norne,87.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3118262604152737,0.0008471152005023375,608.2387693963133,106496.65585466794,64887.91461691403,0.0,5973704.536358456,3637400781.993324,5867.492819987977,0.0,3805.3342579444397
1,norne,115.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3125973567631024,0.0008464830405278311,608.3282804177858,8179.922708159154,4990.930247294246,0.0,6202742.491963582,3777146850.989229,6030.512322867834,0.0,3805.43163435545
1,norne,143.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3133684531109309,0.0008458508805533247,608.4177914392584,79436.03491934226,48477.400889424236,0.0,8426950.880035406,5134514093.550441,8231.531864717637,0.0,3761.4683978843505
1,norne,144.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3133959922662104,0.000845828303411378,608.4209882614538,116485.83357078744,71105.36186411598,0.0,8543437.38926946,5205619186.1402235,8349.432033491821,0.0,3758.9419226386717
1,norne,146.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3134510705767697,0.0008457831491274848,608.4273819058446,129912.41744228525,79276.98592216246,0.0,8803261.609914698,5364173564.103215,8605.771766536805,0.0,3753.4463520972654
1,norne,152.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3136163055084473,0.0008456476862758048,608.4465628390174,125149.2616801162,76470.37044351331,0.0,9554157.302843262,5822995274.701629,9344.12967376634,0.0,3739.0789052726805
1,norne,168.0,0.247,487.49,172.41,16962000.0,3728.217331465862,1.3140569319929207,0.0008452864520046583,608.4977119941445,125066.21652229353,76866.56568922062,0.0,11555216.570643371,7052860466.987824,11294.79639657007,0.0,3703.159845591168
