sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,norne,1.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3076783683222364,0.0008470741780163476,606.8630180860553,27488.70275367882,16773.37413499897,0.0,27488.70275367882,16773374.134998968,28.55221057922726,0.0,3941.0243031074583
1,norne,4.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3077494542238268,0.0008471557254306578,606.8676982386327,27491.804662310507,16767.82090366039,0.0,109964.11059821701,67076836.845980145,113.45362785885875,0.0,3938.277403076855
1,norne,8.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3078442354259474,0.0008472644553164046,606.8739384420693,27494.79293666559,16762.219114655105,0.0,219943.28234487938,134125713.30460057,226.61405241110205,0.0,3935.1317023811584
1,norne,16.5,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.308034187250126,0.0008473992202126767,606.8616511119682,35721.82549826895,21759.100986871636,0.0,523578.7867953787,319078078.31450945,539.8340752407337,0.0,3927.4641952541624
1,norne,25.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3082241390743046,0.0008475339851089489,606.849363781867,35728.85239623855,21747.036613860248,0.0,827274.0444481932,503927863.0463216,853.9972913586676,0.0,3920.37209419223
1,norne,41.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3086937491999417,0.000847909543224154,606.7955891172812,48640.23381358607,29545.406716554422,0.0,1605517.8346047169,976654370.5111923,1550.2245227371966,0.0,3901.6899871197693
1,norne,56.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3093231940533283,0.0008478584462922513,606.6857826229611,71651.04276493465,43323.16348389251,0.0,2680283.35323087,1626501871.3272467,2437.4068618607776,0.0,3876.577938580249
1,norne,87.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3107858236015217,0.0008476462222430009,605.8425386264349,106843.51680601746,64172.21875290516,0.0,5992432.447926131,3615840471.67964,6064.5914727618565,0.0,3807.4207688603697
1,norne,115.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3109380013882237,0.0008471389160671827,604.5413375440396,8095.530062799712,5005.856211891668,0.0,6219107.00713443,3756004666.329273,6209.448302464255,0.0,3806.9356572855163
1,norne,143.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3110901791749257,0.0008466316098913644,603.2401364616443,77778.20295955418,46766.44501680927,0.0,8396896.591723654,5065465162.114599,8586.411710559565,0.0,3765.224914249115
