sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi,Presion_Inicial_Reservorio_psi
1,norne,1.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3036305735209526,0.0008166026737664,606.872529145466,27458.752443801357,16754.91228939821,0.0,27458.752443801357,16754912.289398208,28.902515949617783,0.0,4124.018038259295,4124.018038259295
1,norne,4.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3037228345549987,0.0008166913966366,606.9056660066458,27461.894277989693,16749.221110142837,0.0,109844.43220657377,67002574.51624338,114.7346047928674,0.0,4121.003353098413,4124.018038259295
1,norne,8.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3038458492670604,0.0008168096937969,606.9498484882189,27464.778131658164,16743.479166054083,0.0,219703.5570179931,133976491.18045972,229.1049848562403,0.0,4117.474343439374,4124.018038259295
1,norne,16.5,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3040974710310629,0.0008169466624289,607.012659764272,35642.981737484064,21712.130272993967,0.0,522668.8772170343,318529606.2259918,545.2843935973244,0.0,4108.860514645374,4124.018038259295
1,norne,25.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3043490927950647,0.0008170836310609,607.075471040325,35647.45647102503,21703.041160652057,0.0,825672.3048242953,503005443.9521176,862.3210021200897,0.0,4100.926107628198,4124.018038259295
1,norne,41.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3049133246347415,0.0008174073563774,607.1177364644947,48505.06430596437,29501.598872513074,0.0,1601753.2845805786,975031025.9123268,1560.150150484124,0.0,4080.5009627986447,4124.018038259295
1,norne,56.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3056871347348682,0.0008172742752568,607.1577490111171,71388.41859571383,43393.73101662578,0.0,2672579.710933726,1625936977.918713,2413.866715272628,0.0,4052.8018000665897,4124.018038259295
1,norne,87.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3077493901404045,0.0008170476758393,607.0239570676343,106294.66939240166,64514.66066156172,0.0,5967714.277826377,3625891590.857126,5725.073752638454,0.0,3974.7160986971257,4124.018038259295
1,norne,115.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.308551687309536,0.0008167214128511,606.5680416067441,8078.491063702075,4982.007224244157,0.0,6193911.990755675,3765387632.012797,5872.0374232530685,0.0,3975.743419833289,4124.018038259295
1,norne,143.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3093539844786677,0.0008163951498629,606.112126145854,77091.11484165164,46945.24758864471,0.0,8352463.009765334,5079854334.949514,7987.88308409176,0.0,3926.955624816656,4124.018038259295
1,norne,144.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3093826379489937,0.0008163834976133,606.0958434508221,112602.6002227254,68248.14046808574,0.0,8465065.560848914,5148102612.261934,8103.923643285263,0.0,3924.191905224151,4124.018038259295
1,norne,146.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.309439944889646,0.0008163601931141,606.0632780607586,125733.95610120632,76109.63112317282,0.0,8716533.767886207,5300321821.53628,8366.410376455324,0.0,3918.2072395274417,4124.018038259295
1,norne,152.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3096118657116027,0.0008162902796166,605.9655818905678,120548.04397570132,72895.76690813927,0.0,9439821.908892548,5737696511.271782,9158.138003731574,0.0,3903.1161089210264,4124.018038259295
1,norne,168.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3100703212368208,0.0008161038436234,605.7050587700592,120392.56771573036,73347.90500023271,0.0,11366103.18890082,6911263344.422173,11393.112312010466,0.0,3867.3116878324768,4124.018038259295
1,norne,176.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3098039675923432,0.0008161105592578,604.3917842196976,134972.53335239028,82809.83869283044,0.0,12445883.652276527,7573741630.188815,12622.926180776216,0.0,3849.206314685229,4124.018038259295
1,norne,188.5,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3093877900228468,0.0008161210524366,602.3397927347576,148653.52287083326,92619.50266542306,0.0,14304051.785230124,8731485797.553604,14665.60134886952,0.0,3820.895893664056,4124.018038259295
1,norne,201.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3089716124533504,0.0008161315456154,600.2878012498176,145672.2631289332,95679.94231097848,0.0,16124955.14805051,9927485072.0265,16790.58996218003,0.0,3796.2074325124327,4124.018038259295
1,norne,202.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3089383182477907,0.0008161323850697,600.1236419310223,150935.02887978416,99915.31857497622,0.0,16275890.164645508,10027400152.227478,16968.92667452719,0.0,3794.3395759012265,4124.018038259295
1,norne,205.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3088384356311116,0.0008161349034326,599.6311639746367,141353.98863087504,94727.12611741244,0.0,16699952.351664292,10311582077.957048,17468.763931762296,0.0,3789.015299319189,4124.018038259295
1,norne,207.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.308771847219992,0.0008161365823412,599.3028453370463,140843.51889078558,95244.38004056734,0.0,16981639.95454605,10502069955.171516,17803.060617555133,0.0,3785.5433876466063,4124.018038259295
1,norne,213.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.308572081986634,0.0008161416190671,598.3178894242751,141772.67872982647,97742.54839159202,0.0,17832275.535533544,11088525086.605068,18845.36794853109,0.0,3775.418011381689,4124.018038259295
1,norne,220.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.308339022547716,0.0008161474952472,597.1687741927087,140416.00831501212,99035.97454547956,0.0,18815187.409466825,11781777420.486092,20073.688447918463,0.0,3764.203347173602,4124.018038259295
1,norne,229.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3080393746976786,0.0008161550503359,595.6913403235519,142552.17301298672,101083.01568674509,0.0,20098157.85108835,12691525047.243464,21885.023423820196,0.0,3749.967801123931,4124.018038259295
1,norne,230.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.308006080492119,0.0008161558897902,595.5271810047567,160727.79742678106,112406.76067943349,0.0,20258884.530599546,12803930783.797564,22161.206926317165,0.0,3748.284959693646,4124.018038259295
1,norne,233.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3079061978754398,0.0008161584081531,595.0347030483711,145706.40255106176,101626.84389659172,0.0,20696004.36477685,13108812189.52534,22917.61655974463,0.0,3743.6091214849303,4124.018038259295
1,norne,237.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.3077730210532008,0.0008161617659703,594.3780657731902,145254.51895855457,102009.44299561952,0.0,21277022.489750218,13516849714.305153,23955.039152424844,0.0,3737.579308543115,4124.018038259295
1,norne,244.5,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.307523314511503,0.0008161680618776,593.1468708822263,139836.94032621235,98082.26665657936,0.0,22325799.689614244,14252466087.39416,25948.838528991542,0.0,3727.154721124365,4124.018038259295
